flight_number,scheduled_departure_date,departure_delay_min,total_pax,ssr_count,load_category,ssr_volume
4549,2025-08-14,-2.0,47,26,Low Load,Low SSR
4387,2025-08-12,-2.0,46,19,Low Load,Low SSR
2430,2025-08-01,10.0,181,46,High Load,High SSR
1708,2025-08-13,18.0,163,48,Medium Load,High SSR
1270,2025-08-10,0.0,234,244,High Load,High SSR
4502,2025-08-15,-11.0,48,12,Low Load,Low SSR
4563,2025-08-15,-10.0,53,27,Low Load,Low SSR
2329,2025-08-13,-2.0,151,94,Medium Load,High SSR
2155,2025-08-02,11.0,273,73,High Load,High SSR
310,2025-08-02,-2.0,147,119,Medium Load,High SSR
286,2025-08-07,-4.0,198,51,High Load,High SSR
1576,2025-08-13,83.0,185,19,High Load,Low SSR
343,2025-08-15,3.0,165,104,Medium Load,High SSR
5631,2025-08-12,316.0,53,15,Low Load,Low SSR
2011,2025-08-12,14.0,116,87,Medium Load,High SSR
5726,2025-08-01,4.0,61,18,Low Load,Low SSR
5427,2025-08-03,-8.0,59,23,Low Load,Low SSR
3718,2025-08-01,-4.0,90,21,Medium Load,Low SSR
4599,2025-08-11,-3.0,50,16,Low Load,Low SSR
5841,2025-08-07,-4.0,62,34,Low Load,Low SSR
4778,2025-08-04,-7.0,40,16,Low Load,Low SSR
3707,2025-08-13,9.0,73,17,Medium Load,Low SSR
5038,2025-08-04,-1.0,51,41,Low Load,High SSR
3551,2025-08-08,-2.0,31,19,Low Load,Low SSR
2302,2025-08-04,-1.0,165,21,Medium Load,Low SSR
4491,2025-08-09,-7.0,34,20,Low Load,Low SSR
5564,2025-08-06,-10.0,50,29,Low Load,Low SSR
5051,2025-08-05,1.0,13,6,Low Load,Low SSR
2364,2025-08-13,-5.0,170,69,High Load,High SSR
2494,2025-08-08,26.0,179,73,High Load,High SSR
1584,2025-08-12,1.0,237,55,High Load,High SSR
1328,2025-08-08,-8.0,217,67,High Load,High SSR
1502,2025-08-11,-5.0,199,77,High Load,High SSR
3451,2025-08-07,4.0,72,26,Low Load,Low SSR
5234,2025-08-01,-5.0,63,18,Low Load,Low SSR
1304,2025-08-12,1.0,195,73,High Load,High SSR
276,2025-08-10,43.0,223,48,High Load,High SSR
1139,2025-08-07,62.0,150,17,Medium Load,Low SSR
1933,2025-08-07,-3.0,177,40,High Load,Low SSR
5260,2025-08-06,-10.0,36,12,Low Load,Low SSR
1314,2025-08-04,1.0,209,94,High Load,High SSR
2144,2025-08-10,1.0,157,53,Medium Load,High SSR
2618,2025-08-15,0.0,118,58,Medium Load,High SSR
2004,2025-08-14,-2.0,180,49,High Load,High SSR
5337,2025-08-06,-5.0,78,25,Medium Load,Low SSR
592,2025-08-15,-1.0,163,52,Medium Load,High SSR
5577,2025-08-04,-10.0,73,20,Medium Load,Low SSR
2481,2025-08-08,-2.0,168,66,Medium Load,High SSR
1178,2025-08-13,46.0,189,102,High Load,High SSR
2370,2025-08-12,-1.0,153,81,Medium Load,High SSR
5414,2025-08-14,-2.0,81,17,Medium Load,Low SSR
1778,2025-08-05,-5.0,169,94,High Load,High SSR
1923,2025-08-08,85.0,191,56,High Load,High SSR
5118,2025-08-03,15.0,48,43,Low Load,High SSR
4590,2025-08-15,-6.0,56,26,Low Load,Low SSR
224,2025-08-11,-7.0,207,68,High Load,High SSR
490,2025-08-09,3.0,150,71,Medium Load,High SSR
2369,2025-08-01,-5.0,205,63,High Load,High SSR
5521,2025-08-05,32.0,52,26,Low Load,Low SSR
1328,2025-08-11,0.0,229,67,High Load,High SSR
4809,2025-08-09,-3.0,93,31,Medium Load,Low SSR
2243,2025-08-12,152.0,162,69,Medium Load,High SSR
4491,2025-08-02,-2.0,54,20,Low Load,Low SSR
2011,2025-08-09,-4.0,174,87,High Load,High SSR
5230,2025-08-03,32.0,50,37,Low Load,Low SSR
286,2025-08-11,-2.0,192,51,High Load,High SSR
4481,2025-08-04,-6.0,52,17,Low Load,Low SSR
3635,2025-08-08,4.0,68,18,Low Load,Low SSR
1740,2025-08-11,10.0,145,44,Medium Load,High SSR
602,2025-08-08,0.0,166,58,Medium Load,High SSR
1617,2025-08-09,0.0,174,60,High Load,High SSR
5360,2025-08-07,-5.0,42,40,Low Load,Low SSR
5564,2025-08-15,36.0,45,29,Low Load,Low SSR
3465,2025-08-02,-5.0,83,25,Medium Load,Low SSR
3421,2025-08-08,-7.0,83,18,Medium Load,Low SSR
5337,2025-08-08,-3.0,72,25,Low Load,Low SSR
5652,2025-08-05,-6.0,90,33,Medium Load,Low SSR
5094,2025-08-03,0.0,61,16,Low Load,Low SSR
275,2025-08-03,-1.0,171,47,High Load,High SSR
374,2025-08-13,3.0,140,85,Medium Load,High SSR
1617,2025-08-14,69.0,171,60,High Load,High SSR
1577,2025-08-10,218.0,286,88,High Load,High SSR
5358,2025-08-15,98.0,53,32,Low Load,Low SSR
1205,2025-08-06,1.0,176,67,High Load,High SSR
3604,2025-08-06,-2.0,55,24,Low Load,Low SSR
4188,2025-08-12,847.0,42,22,Low Load,Low SSR
1741,2025-08-14,1.0,152,47,Medium Load,High SSR
2627,2025-08-07,27.0,177,68,High Load,High SSR
5358,2025-08-14,-8.0,50,32,Low Load,Low SSR
422,2025-08-11,-1.0,339,143,High Load,High SSR
4445,2025-08-08,-6.0,50,17,Low Load,Low SSR
1324,2025-08-03,4.0,213,78,High Load,High SSR
739,2025-08-09,166.0,160,59,Medium Load,High SSR
4766,2025-08-04,-5.0,44,19,Low Load,Low SSR
4590,2025-08-13,145.0,48,26,Low Load,Low SSR
343,2025-08-05,113.0,243,104,High Load,High SSR
1314,2025-08-02,15.0,246,94,High Load,High SSR
4481,2025-08-10,21.0,37,17,Low Load,Low SSR
1848,2025-08-08,-4.0,129,78,Medium Load,High SSR
1306,2025-08-03,2.0,262,58,High Load,High SSR
1980,2025-08-03,-2.0,184,25,High Load,Low SSR
2038,2025-08-08,-8.0,128,28,Medium Load,Low SSR
5229,2025-08-15,63.0,46,16,Low Load,Low SSR
1414,2025-08-15,-5.0,181,70,High Load,High SSR
5135,2025-08-05,-1.0,34,22,Low Load,Low SSR
1612,2025-08-11,-2.0,98,92,Medium Load,High SSR
5051,2025-08-11,153.0,11,6,Low Load,Low SSR
1270,2025-08-14,1.0,208,61,High Load,High SSR
482,2025-08-02,-3.0,223,28,High Load,Low SSR
5362,2025-08-10,4.0,46,32,Low Load,Low SSR
4766,2025-08-05,-8.0,52,19,Low Load,Low SSR
617,2025-08-06,243.0,144,94,Medium Load,High SSR
5505,2025-08-02,4.0,50,37,Low Load,Low SSR
5124,2025-08-13,-6.0,49,19,Low Load,Low SSR
5948,2025-08-03,-3.0,87,11,Medium Load,Low SSR
5843,2025-08-01,-4.0,100,19,Medium Load,Low SSR
5138,2025-08-13,4.0,37,9,Low Load,Low SSR
3663,2025-08-15,-10.0,72,23,Low Load,Low SSR
2618,2025-08-13,29.0,156,58,Medium Load,High SSR
2652,2025-08-07,11.0,188,109,High Load,High SSR
5469,2025-08-09,27.0,81,15,Medium Load,Low SSR
5964,2025-08-04,83.0,98,19,Medium Load,Low SSR
4613,2025-08-05,-4.0,52,13,Low Load,Low SSR
5253,2025-08-05,-1.0,94,24,Medium Load,Low SSR
4809,2025-08-10,68.0,102,31,Medium Load,Low SSR
224,2025-08-05,-7.0,197,68,High Load,High SSR
1358,2025-08-11,21.0,122,20,Medium Load,Low SSR
5601,2025-08-02,-2.0,62,71,Low Load,High SSR
1634,2025-08-02,-3.0,206,101,High Load,High SSR
739,2025-08-07,124.0,157,59,Medium Load,High SSR
2430,2025-08-15,-2.0,119,46,Medium Load,High SSR
343,2025-08-08,6.0,251,104,High Load,High SSR
2440,2025-08-11,-1.0,187,92,High Load,High SSR
1576,2025-08-08,9.0,129,19,Medium Load,Low SSR
576,2025-08-15,-4.0,180,102,High Load,High SSR
1580,2025-08-15,49.0,174,63,High Load,High SSR
3641,2025-08-06,0.0,86,19,Medium Load,Low SSR
602,2025-08-07,8.0,196,58,High Load,High SSR
4387,2025-08-04,43.0,53,19,Low Load,Low SSR
4390,2025-08-10,159.0,50,16,Low Load,Low SSR
3610,2025-08-07,-6.0,75,19,Medium Load,Low SSR
374,2025-08-12,170.0,123,85,Medium Load,High SSR
4186,2025-08-08,-4.0,48,39,Low Load,Low SSR
1677,2025-08-14,-2.0,196,33,High Load,Low SSR
4501,2025-08-15,1.0,64,29,Low Load,Low SSR
729,2025-08-07,-5.0,185,30,High Load,Low SSR
2333,2025-08-08,-2.0,212,78,High Load,High SSR
1583,2025-08-03,21.0,150,58,Medium Load,High SSR
5234,2025-08-07,-7.0,47,18,Low Load,Low SSR
3525,2025-08-10,0.0,88,23,Medium Load,Low SSR
5565,2025-08-15,2.0,46,19,Low Load,Low SSR
3707,2025-08-04,6.0,77,17,Medium Load,Low SSR
1205,2025-08-02,36.0,213,67,High Load,High SSR
556,2025-08-12,-3.0,101,28,Medium Load,Low SSR
5289,2025-08-09,-6.0,81,22,Medium Load,Low SSR
3638,2025-08-14,-6.0,92,15,Medium Load,Low SSR
5124,2025-08-07,47.0,62,19,Low Load,Low SSR
4461,2025-08-14,-5.0,50,19,Low Load,Low SSR
912,2025-08-08,4.0,194,76,High Load,High SSR
5045,2025-08-05,46.0,86,25,Medium Load,Low SSR
3571,2025-08-02,-5.0,60,27,Low Load,Low SSR
561,2025-08-10,25.0,175,75,High Load,High SSR
592,2025-08-14,58.0,115,52,Medium Load,High SSR
2364,2025-08-08,2.0,124,69,Medium Load,High SSR
1616,2025-08-13,9.0,186,85,High Load,High SSR
576,2025-08-02,14.0,231,102,High Load,High SSR
2369,2025-08-05,-1.0,209,63,High Load,High SSR
5901,2025-08-08,0.0,69,20,Low Load,Low SSR
5526,2025-08-04,51.0,54,20,Low Load,Low SSR
845,2025-08-07,59.0,364,212,High Load,High SSR
1584,2025-08-01,76.0,259,55,High Load,High SSR
786,2025-08-12,23.0,163,74,Medium Load,High SSR
2011,2025-08-10,0.0,181,87,High Load,High SSR
3451,2025-08-08,-1.0,79,26,Medium Load,Low SSR
5125,2025-08-06,-4.0,48,26,Low Load,Low SSR
1124,2025-08-01,13.0,216,103,High Load,High SSR
1905,2025-08-06,123.0,123,78,Medium Load,High SSR
312,2025-08-03,0.0,149,34,Medium Load,Low SSR
1531,2025-08-09,4.0,115,102,Medium Load,High SSR
1710,2025-08-06,235.0,193,118,High Load,High SSR
4611,2025-08-08,41.0,40,10,Low Load,Low SSR
2211,2025-08-09,20.0,181,87,High Load,High SSR
3601,2025-08-14,-5.0,102,23,Medium Load,Low SSR
3638,2025-08-01,-3.0,88,15,Medium Load,Low SSR
5215,2025-08-02,-6.0,55,21,Low Load,Low SSR
5038,2025-08-02,-3.0,59,41,Low Load,High SSR
2133,2025-08-10,-2.0,192,91,High Load,High SSR
5290,2025-08-15,-2.0,85,18,Medium Load,Low SSR
4460,2025-08-03,-5.0,60,10,Low Load,Low SSR
5234,2025-08-15,94.0,35,18,Low Load,Low SSR
5603,2025-08-14,2.0,46,67,Low Load,High SSR
5652,2025-08-03,2.0,69,33,Low Load,Low SSR
1491,2025-08-14,95.0,116,102,Medium Load,High SSR
4173,2025-08-15,-5.0,44,10,Low Load,Low SSR
5607,2025-08-08,-7.0,79,41,Medium Load,High SSR
6004,2025-08-12,294.0,24,5,Low Load,Low SSR
1139,2025-08-08,-7.0,137,17,Medium Load,Low SSR
490,2025-08-04,4.0,149,71,Medium Load,High SSR
2440,2025-08-09,-3.0,192,92,High Load,High SSR
4186,2025-08-04,-11.0,57,39,Low Load,Low SSR
793,2025-08-11,1.0,132,93,Medium Load,High SSR
2635,2025-08-05,-1.0,150,56,Medium Load,High SSR
763,2025-08-13,-4.0,207,44,High Load,High SSR
4585,2025-08-11,-5.0,48,26,Low Load,Low SSR
2104,2025-08-08,-4.0,180,21,High Load,Low SSR
5124,2025-08-15,12.0,40,19,Low Load,Low SSR
5795,2025-08-15,-4.0,58,27,Low Load,Low SSR
3468,2025-08-07,-8.0,102,23,Medium Load,Low SSR
4461,2025-08-01,20.0,50,19,Low Load,Low SSR
4481,2025-08-03,-6.0,57,17,Low Load,Low SSR
3655,2025-08-05,-4.0,84,26,Medium Load,Low SSR
2666,2025-08-06,-5.0,205,40,High Load,Low SSR
3433,2025-08-11,4.0,92,26,Medium Load,Low SSR
1113,2025-08-09,0.0,137,67,Medium Load,High SSR
4481,2025-08-07,-6.0,27,17,Low Load,Low SSR
1693,2025-08-07,55.0,98,36,Medium Load,Low SSR
5668,2025-08-01,15.0,53,26,Low Load,Low SSR
2649,2025-08-06,-8.0,176,65,High Load,High SSR
5984,2025-08-08,-5.0,94,24,Medium Load,Low SSR
4481,2025-08-05,-5.0,56,17,Low Load,Low SSR
556,2025-08-08,-6.0,108,28,Medium Load,Low SSR
1980,2025-08-05,-3.0,172,25,High Load,Low SSR
3493,2025-08-08,10.0,44,22,Low Load,Low SSR
5977,2025-08-12,47.0,86,34,Medium Load,Low SSR
2347,2025-08-11,3.0,124,70,Medium Load,High SSR
3536,2025-08-04,3.0,92,15,Medium Load,Low SSR
4529,2025-08-10,-1.0,63,19,Low Load,Low SSR
987,2025-08-05,36.0,306,90,High Load,High SSR
4468,2025-08-05,16.0,44,14,Low Load,Low SSR
758,2025-08-01,17.0,191,88,High Load,High SSR
5624,2025-08-08,-2.0,87,25,Medium Load,Low SSR
5577,2025-08-03,-5.0,95,20,Medium Load,Low SSR
1834,2025-08-05,-7.0,231,97,High Load,High SSR
5557,2025-08-08,-7.0,73,18,Medium Load,Low SSR
1215,2025-08-11,-3.0,146,66,Medium Load,High SSR
4482,2025-08-05,-4.0,62,15,Low Load,Low SSR
4519,2025-08-05,-7.0,58,18,Low Load,Low SSR
1198,2025-08-08,-7.0,222,36,High Load,Low SSR
602,2025-08-06,179.0,152,58,Medium Load,High SSR
533,2025-08-05,88.0,191,74,High Load,High SSR
2302,2025-08-05,-7.0,143,21,Medium Load,Low SSR
5269,2025-08-09,12.0,56,21,Low Load,Low SSR
3569,2025-08-15,-3.0,77,38,Medium Load,Low SSR
5585,2025-08-08,-5.0,49,13,Low Load,Low SSR
5819,2025-08-15,91.0,51,25,Low Load,Low SSR
2251,2025-08-03,2.0,160,28,Medium Load,Low SSR
1168,2025-08-10,70.0,249,58,High Load,High SSR
291,2025-08-03,71.0,126,60,Medium Load,High SSR
622,2025-08-12,34.0,440,113,High Load,High SSR
5847,2025-08-13,25.0,85,25,Medium Load,Low SSR
2483,2025-08-02,44.0,198,155,High Load,High SSR
1909,2025-08-05,10.0,149,55,Medium Load,High SSR
1946,2025-08-03,30.0,196,57,High Load,High SSR
4188,2025-08-06,-5.0,40,22,Low Load,Low SSR
881,2025-08-14,72.0,243,93,High Load,High SSR
3525,2025-08-11,8.0,75,23,Medium Load,Low SSR
3690,2025-08-15,-6.0,62,19,Low Load,Low SSR
1413,2025-08-13,-3.0,116,52,Medium Load,High SSR
5964,2025-08-11,-5.0,77,19,Medium Load,Low SSR
5557,2025-08-07,33.0,80,18,Medium Load,Low SSR
3498,2025-08-11,-2.0,61,22,Low Load,Low SSR
1594,2025-08-07,13.0,151,77,Medium Load,High SSR
4474,2025-08-07,-1.0,40,14,Low Load,Low SSR
5038,2025-08-05,-4.0,48,41,Low Load,High SSR
4645,2025-08-14,129.0,40,23,Low Load,Low SSR
4542,2025-08-10,-6.0,49,21,Low Load,Low SSR
5269,2025-08-11,3.0,52,21,Low Load,Low SSR
5379,2025-08-09,148.0,86,5,Medium Load,Low SSR
4380,2025-08-11,106.0,47,10,Low Load,Low SSR
481,2025-08-15,-1.0,117,54,Medium Load,High SSR
1146,2025-08-01,3.0,198,33,High Load,Low SSR
2147,2025-08-12,60.0,100,40,Medium Load,Low SSR
2418,2025-08-07,5.0,166,40,Medium Load,Low SSR
5353,2025-08-01,-10.0,48,17,Low Load,Low SSR
2067,2025-08-01,27.0,184,27,High Load,Low SSR
2649,2025-08-08,3.0,195,65,High Load,High SSR
970,2025-08-05,26.0,194,59,High Load,High SSR
1306,2025-08-05,-8.0,229,58,High Load,High SSR
2862,2025-08-15,-5.0,176,82,High Load,High SSR
5447,2025-08-08,-2.0,80,19,Medium Load,Low SSR
600,2025-08-15,-5.0,169,60,High Load,High SSR
288,2025-08-13,49.0,227,64,High Load,High SSR
5699,2025-08-14,-1.0,77,31,Medium Load,Low SSR
1044,2025-08-06,-3.0,270,74,High Load,High SSR
5448,2025-08-07,0.0,34,26,Low Load,Low SSR
5037,2025-08-15,-3.0,27,24,Low Load,Low SSR
4461,2025-08-09,-10.0,44,19,Low Load,Low SSR
3610,2025-08-14,3.0,92,19,Medium Load,Low SSR
2155,2025-08-06,327.0,165,73,Medium Load,High SSR
3409,2025-08-11,3.0,63,29,Low Load,Low SSR
5234,2025-08-08,-7.0,49,18,Low Load,Low SSR
3708,2025-08-08,-1.0,73,4,Medium Load,Low SSR
1580,2025-08-06,237.0,150,63,Medium Load,High SSR
4452,2025-08-05,-9.0,60,22,Low Load,Low SSR
4476,2025-08-06,-4.0,41,20,Low Load,Low SSR
5026,2025-08-07,78.0,31,19,Low Load,Low SSR
2337,2025-08-03,0.0,225,98,High Load,High SSR
1742,2025-08-07,40.0,209,47,High Load,High SSR
1761,2025-08-03,210.0,198,107,High Load,High SSR
2039,2025-08-07,110.0,275,94,High Load,High SSR
2649,2025-08-12,264.0,193,65,High Load,High SSR
5234,2025-08-13,-7.0,49,18,Low Load,Low SSR
4479,2025-08-10,-9.0,59,6,Low Load,Low SSR
1872,2025-08-11,10.0,161,101,Medium Load,High SSR
4645,2025-08-08,-7.0,48,23,Low Load,Low SSR
1144,2025-08-03,20.0,183,108,High Load,High SSR
5262,2025-08-09,-6.0,60,28,Low Load,Low SSR
2147,2025-08-09,-1.0,116,40,Medium Load,Low SSR
4530,2025-08-01,54.0,49,11,Low Load,Low SSR
1832,2025-08-08,3.0,100,49,Medium Load,High SSR
3638,2025-08-07,-5.0,94,15,Medium Load,Low SSR
5841,2025-08-06,-2.0,57,34,Low Load,Low SSR
3685,2025-08-01,-4.0,87,19,Medium Load,Low SSR
5810,2025-08-06,146.0,45,26,Low Load,Low SSR
4636,2025-08-15,98.0,44,43,Low Load,High SSR
5427,2025-08-13,-5.0,41,23,Low Load,Low SSR
5375,2025-08-02,-5.0,50,19,Low Load,Low SSR
1239,2025-08-12,-4.0,140,75,Medium Load,High SSR
2426,2025-08-07,12.0,169,79,High Load,High SSR
5405,2025-08-11,-5.0,55,16,Low Load,Low SSR
611,2025-08-02,98.0,247,48,High Load,High SSR
4184,2025-08-04,-8.0,51,18,Low Load,Low SSR
359,2025-08-11,-8.0,153,139,Medium Load,High SSR
609,2025-08-05,5.0,197,110,High Load,High SSR
1920,2025-08-07,14.0,185,74,High Load,High SSR
4613,2025-08-02,-2.0,50,13,Low Load,Low SSR
1328,2025-08-09,-5.0,236,67,High Load,High SSR
5847,2025-08-04,-2.0,76,25,Medium Load,Low SSR
2497,2025-08-06,248.0,100,77,Medium Load,High SSR
980,2025-08-01,34.0,265,47,High Load,High SSR
929,2025-08-12,-1.0,136,66,Medium Load,High SSR
2147,2025-08-06,326.0,99,40,Medium Load,Low SSR
5915,2025-08-12,332.0,51,33,Low Load,Low SSR
466,2025-08-10,-8.0,135,22,Medium Load,Low SSR
291,2025-08-10,25.0,126,60,Medium Load,High SSR
2226,2025-08-15,8.0,185,76,High Load,High SSR
4491,2025-08-15,-5.0,46,20,Low Load,Low SSR
4502,2025-08-06,-3.0,47,12,Low Load,Low SSR
1577,2025-08-14,2.0,263,88,High Load,High SSR
293,2025-08-11,-6.0,208,42,High Load,High SSR
2067,2025-08-06,-5.0,197,27,High Load,Low SSR
660,2025-08-09,-4.0,284,55,High Load,High SSR
2370,2025-08-13,37.0,209,81,High Load,High SSR
533,2025-08-08,18.0,143,74,Medium Load,High SSR
4395,2025-08-07,33.0,58,29,Low Load,Low SSR
556,2025-08-06,-7.0,118,28,Medium Load,Low SSR
3638,2025-08-04,6.0,91,15,Medium Load,Low SSR
3628,2025-08-07,11.0,69,20,Low Load,Low SSR
1273,2025-08-13,-7.0,155,36,Medium Load,Low SSR
786,2025-08-01,-5.0,181,74,High Load,High SSR
4718,2025-08-06,10.0,64,22,Low Load,Low SSR
4546,2025-08-10,4.0,42,18,Low Load,Low SSR
1129,2025-08-08,-2.0,129,23,Medium Load,Low SSR
5603,2025-08-11,-10.0,47,67,Low Load,High SSR
5593,2025-08-09,-1.0,58,35,Low Load,Low SSR
5021,2025-08-09,26.0,35,28,Low Load,Low SSR
5695,2025-08-04,5.0,73,3,Medium Load,Low SSR
3421,2025-08-05,-7.0,74,18,Medium Load,Low SSR
1983,2025-08-05,99.0,195,88,High Load,High SSR
1577,2025-08-01,15.0,294,88,High Load,High SSR
5631,2025-08-06,9.0,46,15,Low Load,Low SSR
4406,2025-08-08,-5.0,58,21,Low Load,Low SSR
1525,2025-08-01,4.0,168,75,Medium Load,High SSR
1920,2025-08-03,54.0,190,74,High Load,High SSR
5447,2025-08-02,7.0,96,19,Medium Load,Low SSR
793,2025-08-15,79.0,132,93,Medium Load,High SSR
5763,2025-08-13,0.0,102,49,Medium Load,High SSR
1414,2025-08-07,-9.0,164,70,Medium Load,High SSR
1156,2025-08-03,28.0,218,80,High Load,High SSR
1314,2025-08-12,4.0,214,94,High Load,High SSR
2661,2025-08-05,-1.0,175,31,High Load,Low SSR
4456,2025-08-10,-3.0,34,8,Low Load,Low SSR
909,2025-08-01,27.0,273,97,High Load,High SSR
5376,2025-08-10,35.0,75,39,Medium Load,Low SSR
708,2025-08-13,9.0,126,57,Medium Load,High SSR
1069,2025-08-12,107.0,96,67,Medium Load,High SSR
1658,2025-08-11,-2.0,191,37,High Load,Low SSR
2635,2025-08-08,15.0,129,56,Medium Load,High SSR
1815,2025-08-09,0.0,189,45,High Load,High SSR
1538,2025-08-09,1.0,220,73,High Load,High SSR
4461,2025-08-10,-3.0,48,19,Low Load,Low SSR
5398,2025-08-14,-2.0,65,16,Low Load,Low SSR
4559,2025-08-08,-11.0,50,17,Low Load,Low SSR
2172,2025-08-11,3.0,179,99,High Load,High SSR
2378,2025-08-07,21.0,219,47,High Load,High SSR
4590,2025-08-12,9.0,53,26,Low Load,Low SSR
5427,2025-08-14,100.0,51,23,Low Load,Low SSR
5026,2025-08-11,24.0,46,19,Low Load,Low SSR
4571,2025-08-11,-5.0,51,18,Low Load,Low SSR
374,2025-08-05,-2.0,138,85,Medium Load,High SSR
4559,2025-08-15,-6.0,43,17,Low Load,Low SSR
1803,2025-08-06,-1.0,214,64,High Load,High SSR
5274,2025-08-15,141.0,45,39,Low Load,Low SSR
416,2025-08-14,65.0,287,49,High Load,High SSR
3614,2025-08-05,-3.0,61,23,Low Load,Low SSR
343,2025-08-01,4.0,182,104,High Load,High SSR
3498,2025-08-04,-4.0,75,22,Medium Load,Low SSR
2387,2025-08-02,-5.0,289,21,High Load,Low SSR
561,2025-08-08,-2.0,134,75,Medium Load,High SSR
1872,2025-08-09,15.0,185,101,High Load,High SSR
5699,2025-08-13,0.0,73,31,Medium Load,Low SSR
1872,2025-08-14,30.0,174,101,High Load,High SSR
1811,2025-08-07,9.0,199,151,High Load,High SSR
1677,2025-08-15,-3.0,189,33,High Load,Low SSR
1616,2025-08-11,-1.0,213,85,High Load,High SSR
2154,2025-08-02,31.0,215,88,High Load,High SSR
4766,2025-08-02,107.0,50,19,Low Load,Low SSR
695,2025-08-01,13.0,234,75,High Load,High SSR
1198,2025-08-11,-8.0,253,36,High Load,Low SSR
1006,2025-08-09,1.0,210,85,High Load,High SSR
4476,2025-08-02,-7.0,55,20,Low Load,Low SSR
2176,2025-08-09,0.0,188,9,High Load,Low SSR
5253,2025-08-09,8.0,75,24,Medium Load,Low SSR
5138,2025-08-11,3.0,31,9,Low Load,Low SSR
1923,2025-08-06,304.0,106,56,Medium Load,High SSR
1708,2025-08-02,5.0,135,48,Medium Load,High SSR
5610,2025-08-15,-1.0,37,19,Low Load,Low SSR
2628,2025-08-07,54.0,123,49,Medium Load,High SSR
5383,2025-08-09,4.0,65,13,Low Load,Low SSR
5353,2025-08-08,23.0,45,17,Low Load,Low SSR
3663,2025-08-06,27.0,72,23,Low Load,Low SSR
5726,2025-08-03,10.0,72,18,Low Load,Low SSR
2006,2025-08-13,2.0,172,80,High Load,High SSR
2154,2025-08-08,12.0,164,88,Medium Load,High SSR
5607,2025-08-10,-5.0,75,41,Medium Load,High SSR
1525,2025-08-04,61.0,145,75,Medium Load,High SSR
5726,2025-08-07,-8.0,52,18,Low Load,Low SSR
758,2025-08-12,102.0,209,88,High Load,High SSR
1077,2025-08-04,-5.0,157,6,Medium Load,Low SSR
1775,2025-08-08,12.0,223,69,High Load,High SSR
2337,2025-08-01,4.0,193,98,High Load,High SSR
4638,2025-08-15,26.0,72,33,Low Load,Low SSR
617,2025-08-14,13.0,170,94,High Load,High SSR
1270,2025-08-10,0.0,234,244,High Load,High SSR
1363,2025-08-05,12.0,241,113,High Load,High SSR
4517,2025-08-11,11.0,50,14,Low Load,Low SSR
4563,2025-08-07,-7.0,50,27,Low Load,Low SSR
1983,2025-08-10,49.0,199,88,High Load,High SSR
2347,2025-08-05,98.0,64,70,Low Load,High SSR
1905,2025-08-14,102.0,170,78,High Load,High SSR
5234,2025-08-10,42.0,40,18,Low Load,Low SSR
5493,2025-08-10,-3.0,46,18,Low Load,Low SSR
1756,2025-08-08,63.0,143,29,Medium Load,Low SSR
3523,2025-08-06,-1.0,92,33,Medium Load,Low SSR
2179,2025-08-08,0.0,265,104,High Load,High SSR
2661,2025-08-06,-6.0,157,31,Medium Load,Low SSR
2369,2025-08-03,-3.0,207,63,High Load,High SSR
5392,2025-08-03,17.0,80,24,Medium Load,Low SSR
5444,2025-08-05,-8.0,48,7,Low Load,Low SSR
1525,2025-08-11,-1.0,142,75,Medium Load,High SSR
5118,2025-08-15,13.0,46,43,Low Load,High SSR
1077,2025-08-15,5.0,43,6,Low Load,Low SSR
592,2025-08-02,19.0,189,52,High Load,High SSR
4389,2025-08-15,22.0,50,21,Low Load,Low SSR
5314,2025-08-03,7.0,64,30,Low Load,Low SSR
2202,2025-08-06,139.0,193,55,High Load,High SSR
293,2025-08-13,18.0,185,42,High Load,High SSR
881,2025-08-09,0.0,322,372,High Load,High SSR
3690,2025-08-05,-1.0,51,19,Low Load,Low SSR
2290,2025-08-03,-4.0,150,52,Medium Load,High SSR
1347,2025-08-04,5.0,203,77,High Load,High SSR
3464,2025-08-05,0.0,72,14,Low Load,Low SSR
4748,2025-08-02,2.0,46,20,Low Load,Low SSR
4809,2025-08-07,69.0,84,31,Medium Load,Low SSR
1933,2025-08-05,-4.0,192,40,High Load,Low SSR
1069,2025-08-01,32.0,122,67,Medium Load,High SSR
5138,2025-08-02,-7.0,45,9,Low Load,Low SSR
2179,2025-08-13,15.0,246,104,High Load,High SSR
3571,2025-08-13,-4.0,87,27,Medium Load,Low SSR
1156,2025-08-09,57.0,102,80,Medium Load,High SSR
3610,2025-08-06,-1.0,88,19,Medium Load,Low SSR
4554,2025-08-03,7.0,44,23,Low Load,Low SSR
1168,2025-08-03,2.0,226,58,High Load,High SSR
1363,2025-08-12,198.0,234,113,High Load,High SSR
1314,2025-08-09,43.0,253,94,High Load,High SSR
912,2025-08-14,54.0,167,76,Medium Load,High SSR
622,2025-08-09,-3.0,517,113,High Load,High SSR
3569,2025-08-02,-1.0,97,38,Medium Load,Low SSR
3464,2025-08-03,4.0,69,14,Low Load,Low SSR
1291,2025-08-10,1.0,229,41,High Load,High SSR
307,2025-08-09,-4.0,158,68,Medium Load,High SSR
4611,2025-08-07,-2.0,50,10,Low Load,Low SSR
3716,2025-08-11,-3.0,76,28,Medium Load,Low SSR
